brand,label,location,founded_year,twitter_acct,twitter_id,twitter_url,num_following,num_followers,joined_date,official_site,wiki,,,,,,,,,,,,,,,,,,,,
Estee Lauder,1_@EsteeLauder,USA,1946,EsteeLauder,290081566,https://twitter.com/EsteeLauder,452,"412,700",2011-4,https://www.esteelauder.com/,https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,,,,,,,,,,,,,,,,,,,,
Dermalogica,2_@dermalogica,USA,1986,dermalogica,18148242,https://twitter.com/dermalogica,"1,225","54,300",2008-12,https://www.dermalogica.com/,https://en.wikipedia.org/wiki/Dermalogica,,,,,,,,,,,,,,,,,,,,
Neutrogena,3_@Neutrogena,USA,1930,Neutrogena,91259072,https://twitter.com/Neutrogena,432,"48,900",2009-11,https://www.neutrogena.com/,https://en.wikipedia.org/wiki/Neutrogena,,,,,,,,,,,,,,,,,,,,
Cerave,4_@cerave,USA,2005,cerave,44693072,https://twitter.com/cerave,196,"48,400",2009-6,https://www.cerave.com/,https://en.wikipedia.org/wiki/L%27Or%C3%A9al,,,,,,,,,,,,,,,,,,,,
SkinCeuticals,5_@SkinCeuticals,USA,1997,SkinCeuticals,132543891,https://twitter.com/SkinCeuticals,997,"47,900",2010-4,https://www.skinceuticals.com/,NA,,,,,,,,,,,,,,,,,,,,
Paula's choice,,USA,1995,PaulasChoice,,https://twitter.com/PaulasChoice,562,"31,700",2008-8,https://www.paulaschoice.com/,NA,,,,,,,,,,,,,,,,,,,,
Inkey list,,UK,2018,theinkeylist,,https://twitter.com/theinkeylist,51,"2,605",2018-6,https://www.theinkeylist.com/,NA,,,,,,,,,,,,,,,,,,,,
Cetaphil,,USA,1947,NA,,,,,,https://www.cetaphil.com/us/,https://en.wikipedia.org/wiki/Cetaphil,,,,,,,,,,,,,,,,,,,,
The ordinary,,,,NA,,,,,,https://theordinary.com/en-us,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
