,id,following,1_@EsteeLauder,2_@dermalogica,3_@Neutrogena,4_@cerave,5_@SkinCeuticals,n_brand_following
0,2_@dermalogica,1225,0,0,0,0,0,0
1,5_@SkinCeuticals,997,0,1,0,1,0,2
2,1_@EsteeLauder,452,0,0,0,0,0,0
3,3_@Neutrogena,432,0,0,0,0,0,0
4,4_@cerave,196,0,0,0,0,1,1
5,1568382218002735105,4,1,0,1,1,1,4
6,1572625750003441664,4,1,0,1,1,1,4
7,1572641040032567301,4,1,0,1,1,1,4
8,1409136155384221698,4,1,0,1,1,1,4
9,3059011803,4,0,1,1,1,1,4
10,1565358112172818434,4,1,1,0,1,1,4
11,1556000179081416706,4,1,0,1,1,1,4
12,1541449042604990465,4,0,1,1,1,1,4
13,1541227710265057285,3,0,1,0,1,1,3
14,1541089267212075010,3,0,1,0,1,1,3
15,789851059418116098,3,1,1,0,0,1,3
16,1532610229258444800,3,1,1,0,0,1,3
17,922013846809739264,3,0,0,1,1,1,3
18,1540868597651750912,3,0,1,0,1,1,3
19,843770724,3,1,0,0,1,1,3
20,1514768062943170567,3,1,1,0,0,1,3
21,1533034577287172097,3,1,1,1,0,0,3
22,1540768397629087744,3,0,1,0,1,1,3
23,1558473462468976642,3,1,0,1,1,0,3
24,1527943469473353731,3,1,0,0,1,1,3
25,1190436602243366912,3,0,1,0,1,1,3
26,1443172092858576900,3,1,1,0,1,0,3
27,1541388958424236034,3,0,1,0,1,1,3
28,1541241347696340993,3,0,1,0,1,1,3
29,1541798714897010689,3,0,1,0,1,1,3
30,1544826090505502720,3,0,0,1,1,1,3
31,1543939228219867136,3,0,0,1,1,1,3
32,1322248570968305664,3,0,0,1,1,1,3
33,1288901347019022336,3,0,1,0,1,1,3
34,1381765125049364484,3,0,0,1,1,1,3
35,1536879385856335872,3,1,0,0,1,1,3
36,1537475006237757440,3,0,1,0,1,1,3
37,1541348547530039296,3,0,1,0,1,1,3
38,1410830096651460608,3,1,0,0,1,1,3
39,1541595482023047168,3,0,1,0,1,1,3
40,1409486501814091778,3,1,0,0,1,1,3
41,1545569762415366144,3,0,1,0,1,1,3
42,1567096500655718400,3,0,1,0,1,1,3
43,1448005063088254976,3,0,1,0,1,1,3
44,1540694796863344641,3,0,1,0,1,1,3
45,1490026093205770249,3,1,0,1,1,0,3
46,1540686074715852800,3,0,1,0,1,1,3
47,3047290450,3,1,1,1,0,0,3
48,142352664,3,0,1,1,0,1,3
49,1559497101180129280,3,0,1,0,1,1,3
50,1559634730491883520,3,1,0,0,1,1,3
51,36689908,3,0,1,1,1,0,3
52,1514293734103560207,3,0,0,1,1,1,3
53,878150682938793984,3,1,0,1,0,1,3
54,1539420835127119874,3,1,1,0,0,1,3
55,1349008629786161152,3,1,0,1,1,0,3
56,1540666040002064387,3,0,1,0,1,1,3
57,1562544780256563200,3,1,0,1,1,0,3
58,1346854772519940096,3,1,1,0,0,1,3
59,1541962135843942401,3,1,1,0,0,1,3
60,1534668508847607813,3,1,1,0,0,1,3
61,1107265981947305984,3,1,0,1,0,1,3
62,884756590611628032,3,0,1,1,0,1,3
63,1459570562,3,1,0,0,1,1,3
64,1526609703354122240,3,1,1,0,0,1,3
65,1532793399891398659,3,1,0,1,0,1,3
66,1538216784339296256,3,0,1,0,1,1,3
