,id,follower,1_@EsteeLauder,2_@dermalogica,3_@Neutrogena,4_@cerave,5_@SkinCeuticals,n_brand_follower
0,4_@cerave,5001,0,0,0,0,1,1
1,5_@SkinCeuticals,5001,0,0,0,1,0,1
2,2_@dermalogica,5001,0,0,0,0,1,1
3,1_@EsteeLauder,5000,0,0,0,0,0,0
4,3_@Neutrogena,5000,0,0,0,0,0,0
5,14222518,5,1,1,1,1,1,5
6,40965341,5,1,1,1,1,1,5
7,19247844,5,1,1,1,1,1,5
8,19658436,5,1,1,1,1,1,5
9,19546942,5,1,1,1,1,1,5
10,15279429,5,1,1,1,1,1,5
11,32469566,5,1,1,1,1,1,5
12,14934818,5,1,1,1,1,1,5
13,482591078,5,1,1,1,1,1,5
14,15934926,4,1,1,1,0,1,4
15,24569636,4,1,1,1,0,1,4
16,16279527,4,1,1,0,1,1,4
17,183016276,4,1,1,1,0,1,4
18,18911477,4,1,1,1,0,1,4
19,26774034,4,1,1,1,0,1,4
20,61692991,4,1,1,1,0,1,4
21,19472585,4,0,1,1,1,1,4
22,243847729,4,1,1,1,0,1,4
23,25093616,4,0,1,1,1,1,4
24,275656864,4,1,1,1,0,1,4
25,244161928,4,1,1,1,0,1,4
26,23798922,4,1,1,1,0,1,4
27,20177423,4,1,1,1,0,1,4
28,159216926,4,1,1,1,0,1,4
29,56197219,4,1,1,1,0,1,4
30,15744329,4,1,1,1,0,1,4
31,20012204,4,1,1,1,0,1,4
32,201546293,4,1,1,1,0,1,4
33,158473531,4,1,1,1,0,1,4
34,117597817,4,1,1,1,0,1,4
35,321714804,4,1,1,1,0,1,4
36,14791162,4,1,1,1,0,1,4
37,21714304,4,1,1,1,0,1,4
38,74134550,4,1,1,1,0,1,4
39,24190981,4,1,1,1,1,0,4
40,89805327,4,1,1,1,0,1,4
41,40886122,4,1,1,1,0,1,4
42,106818079,4,1,1,1,0,1,4
43,188576704,4,1,1,1,0,1,4
44,136361303,4,1,1,1,0,1,4
45,92577188,4,1,1,1,0,1,4
46,113129685,4,1,1,1,0,1,4
47,22686795,4,1,1,1,0,1,4
48,18806753,4,1,1,1,0,1,4
49,22150977,4,1,1,1,0,1,4
50,23482952,4,1,1,1,0,1,4
51,37502226,4,1,1,1,0,1,4
52,19784831,4,1,1,1,0,1,4
53,17604456,4,1,1,0,1,1,4
54,16146026,4,1,1,1,0,1,4
55,25589776,4,1,1,1,0,1,4
56,972651,4,1,1,1,0,1,4
57,14310733,4,1,1,1,0,1,4
58,28134825,3,1,1,0,1,0,3
59,15477762,3,0,1,1,0,1,3
60,225540697,3,0,1,1,1,0,3
61,163796501,3,0,1,1,0,1,3
62,21227745,3,0,1,1,0,1,3
63,394190595,3,1,1,1,0,0,3
64,838116901,3,0,1,1,0,1,3
65,14833304,3,1,1,0,1,0,3
66,209128573,3,0,1,1,0,1,3
67,331757864,3,0,1,1,0,1,3
68,1151147790,3,0,1,1,0,1,3
69,160700592,3,1,1,0,0,1,3
70,18198715,3,1,1,0,0,1,3
71,152071249,3,1,1,0,0,1,3
72,14466097,3,0,1,1,0,1,3
73,14305711,3,1,1,0,0,1,3
74,1110713893,3,0,1,1,0,1,3
75,14353891,3,0,1,1,0,1,3
76,8856442,3,1,1,0,0,1,3
77,65800700,3,1,0,1,0,1,3
78,27855950,3,1,1,0,0,1,3
79,37013608,3,0,1,0,1,1,3
80,38032836,3,1,0,1,0,1,3
